Category	Subcategory	Subsystem	Role	Features
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin biosynthesis	8-amino-7-oxononanoate synthase (EC 2.3.1.47)	fig|6666666.707976.peg.4914
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin biosynthesis	Dethiobiotin synthetase (EC 6.3.3.3)	fig|6666666.707976.peg.4911
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin biosynthesis	Biotin synthesis protein BioH	fig|6666666.707976.peg.4913
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin biosynthesis	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	fig|6666666.707976.peg.575, fig|6666666.707976.peg.1052, fig|6666666.707976.peg.2427, fig|6666666.707976.peg.3391, fig|6666666.707976.peg.3738, fig|6666666.707976.peg.3739
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin biosynthesis	Biotin synthase (EC 2.8.1.6)	fig|6666666.707976.peg.4915
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin biosynthesis	Biotin synthesis protein BioC	fig|6666666.707976.peg.4912
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin biosynthesis	3-ketoacyl-CoA thiolase (EC 2.3.1.16)	fig|6666666.707976.peg.428, fig|6666666.707976.peg.2363, fig|6666666.707976.peg.2416, fig|6666666.707976.peg.2919, fig|6666666.707976.peg.2957, fig|6666666.707976.peg.3308, fig|6666666.707976.peg.3674, fig|6666666.707976.peg.5188
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin biosynthesis	ATPase component BioM of energizing module of biotin ECF transporter	fig|6666666.707976.peg.2064
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin biosynthesis Experimental	Competence protein F homolog, phosphoribosyltransferase domain	fig|6666666.707976.peg.4917
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin biosynthesis Experimental	NfuA Fe-S protein maturation	fig|6666666.707976.peg.821
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin biosynthesis Experimental	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase (EC 2.6.1.62)	fig|6666666.707976.peg.5480
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin biosynthesis Experimental	8-amino-7-oxononanoate synthase (EC 2.3.1.47)	fig|6666666.707976.peg.4914
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin biosynthesis Experimental	Biotin synthesis protein BioH	fig|6666666.707976.peg.4913
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin biosynthesis Experimental	Dethiobiotin synthetase (EC 6.3.3.3)	fig|6666666.707976.peg.4911
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin biosynthesis Experimental	Biotin synthase (EC 2.8.1.6)	fig|6666666.707976.peg.4915
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin biosynthesis Experimental	Biotin synthesis protein BioC	fig|6666666.707976.peg.4912
Cofactors, Vitamins, Prosthetic Groups, Pigments	Cofactors, Vitamins, Prosthetic Groups, Pigments - no subcategory	Thiamin biosynthesis	Predicted hydroxymethylpyrimidine transporter CytX	fig|6666666.707976.peg.5753
Cofactors, Vitamins, Prosthetic Groups, Pigments	Cofactors, Vitamins, Prosthetic Groups, Pigments - no subcategory	Thiamin biosynthesis	tRNA S(4)U 4-thiouridine synthase (former ThiI)	fig|6666666.707976.peg.5907
Cofactors, Vitamins, Prosthetic Groups, Pigments	Cofactors, Vitamins, Prosthetic Groups, Pigments - no subcategory	Thiamin biosynthesis	Glycine oxidase ThiO (EC 1.4.3.19)	fig|6666666.707976.peg.3103
Cofactors, Vitamins, Prosthetic Groups, Pigments	Cofactors, Vitamins, Prosthetic Groups, Pigments - no subcategory	Thiamin biosynthesis	Thiazole biosynthesis protein ThiG	fig|6666666.707976.peg.5434
Cofactors, Vitamins, Prosthetic Groups, Pigments	Cofactors, Vitamins, Prosthetic Groups, Pigments - no subcategory	Thiamin biosynthesis	Rhodanese-like domain required for thiamine synthesis	fig|6666666.707976.peg.5907
Cofactors, Vitamins, Prosthetic Groups, Pigments	Cofactors, Vitamins, Prosthetic Groups, Pigments - no subcategory	Thiamin biosynthesis	Thiamine-monophosphate kinase (EC 2.7.4.16)	fig|6666666.707976.peg.4748
Cofactors, Vitamins, Prosthetic Groups, Pigments	Cofactors, Vitamins, Prosthetic Groups, Pigments - no subcategory	Thiamin biosynthesis	1-deoxy-D-xylulose 5-phosphate synthase (EC 2.2.1.7)	fig|6666666.707976.peg.4741
Cofactors, Vitamins, Prosthetic Groups, Pigments	Cofactors, Vitamins, Prosthetic Groups, Pigments - no subcategory	Thiamin biosynthesis	Cysteine desulfurase (EC 2.8.1.7), IscS subfamily	fig|6666666.707976.peg.383
Cofactors, Vitamins, Prosthetic Groups, Pigments	Cofactors, Vitamins, Prosthetic Groups, Pigments - no subcategory	Thiamin biosynthesis	Thiamin-phosphate pyrophosphorylase (EC 2.5.1.3)	fig|6666666.707976.peg.2826
Cofactors, Vitamins, Prosthetic Groups, Pigments	Cofactors, Vitamins, Prosthetic Groups, Pigments - no subcategory	Thiamin biosynthesis	Thiamin ABC transporter, transmembrane component	fig|6666666.707976.peg.2466
Cofactors, Vitamins, Prosthetic Groups, Pigments	Cofactors, Vitamins, Prosthetic Groups, Pigments - no subcategory	Thiamin biosynthesis	Sulfur carrier protein ThiS	fig|6666666.707976.peg.5433
Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	Menaquinone and Phylloquinone Biosynthesis	Ubiquinone/menaquinone biosynthesis methyltransferase UbiE (EC 2.1.1.-)	fig|6666666.707976.peg.5867
Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	Ubiquinone Biosynthesis	2-octaprenyl-6-methoxyphenol hydroxylase (EC 1.14.13.-)	fig|6666666.707976.peg.5334
Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	Ubiquinone Biosynthesis	Ubiquinone biosynthesis monooxygenase UbiB	fig|6666666.707976.peg.5869
Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	Ubiquinone Biosynthesis	Ubiquinone/menaquinone biosynthesis methyltransferase UbiE (EC 2.1.1.-)	fig|6666666.707976.peg.5867
Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	Ubiquinone Biosynthesis	4-hydroxybenzoate polyprenyltransferase (EC 2.5.1.39)	fig|6666666.707976.peg.4022
Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	Ubiquinone Biosynthesis	3-polyprenyl-4-hydroxybenzoate carboxy-lyase UbiX (EC 4.1.1.-)	fig|6666666.707976.peg.4725
Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	Ubiquinone Biosynthesis	Chorismate--pyruvate lyase (EC 4.1.3.40)	fig|6666666.707976.peg.4023, fig|6666666.707976.peg.5041
Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	Ubiquinone Biosynthesis	2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase (EC 1.14.13.-)	fig|6666666.707976.peg.4848, fig|6666666.707976.peg.5335
Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	Ubiquinone Biosynthesis	Protein YigP (COG3165) clustered with ubiquinone biosynthetic genes	fig|6666666.707976.peg.5868
Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	Ubiquinone Biosynthesis	3-polyprenyl-4-hydroxybenzoate carboxy-lyase (EC 4.1.1.-)	fig|6666666.707976.peg.5321
Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	Ubiquinone Biosynthesis - gjo	2-octaprenyl-6-methoxyphenol hydroxylase (EC 1.14.13.-)	fig|6666666.707976.peg.5334
Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	Ubiquinone Biosynthesis - gjo	Ubiquinone biosynthesis monooxygenase UbiB	fig|6666666.707976.peg.5869
Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	Ubiquinone Biosynthesis - gjo	Ubiquinone/menaquinone biosynthesis methyltransferase UbiE (EC 2.1.1.-)	fig|6666666.707976.peg.5867
Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	Ubiquinone Biosynthesis - gjo	4-hydroxybenzoate polyprenyltransferase (EC 2.5.1.39)	fig|6666666.707976.peg.4022
Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	Ubiquinone Biosynthesis - gjo	3-polyprenyl-4-hydroxybenzoate carboxy-lyase UbiX (EC 4.1.1.-)	fig|6666666.707976.peg.4725
Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	Ubiquinone Biosynthesis - gjo	Chorismate--pyruvate lyase (EC 4.1.3.40)	fig|6666666.707976.peg.4023, fig|6666666.707976.peg.5041
Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	Ubiquinone Biosynthesis - gjo	2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase (EC 1.14.13.-)	fig|6666666.707976.peg.4848, fig|6666666.707976.peg.5335
Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	Ubiquinone Biosynthesis - gjo	Protein YigP (COG3165) clustered with ubiquinone biosynthetic genes	fig|6666666.707976.peg.5868
Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	Ubiquinone Biosynthesis - gjo	3-polyprenyl-4-hydroxybenzoate carboxy-lyase (EC 4.1.1.-)	fig|6666666.707976.peg.5321
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Heme biosynthesis orphans	Heme d1 biosynthesis protein NirG	fig|6666666.707976.peg.3972
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Heme biosynthesis orphans	Cytochrome cd1 nitrite reductase (EC:1.7.2.1)	fig|6666666.707976.peg.3966
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Heme biosynthesis orphans	Heme d1 biosynthesis protein NirH	fig|6666666.707976.peg.3973
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Heme biosynthesis orphans	Heme d1 biosynthesis protein NirL	fig|6666666.707976.peg.3971
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Heme biosynthesis orphans	Heme d1 biosynthesis protein NirJ	fig|6666666.707976.peg.3974
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Heme biosynthesis orphans	Heme d1 biosynthesis protein NirD	fig|6666666.707976.peg.3970
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Cobalamin synthesis	Cobalt-precorrin-6x reductase (EC 1.3.1.54)	fig|6666666.707976.peg.487
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Cobalamin synthesis	L-threonine 3-O-phosphate decarboxylase (EC 4.1.1.81)	fig|6666666.707976.peg.2500
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Cobalamin synthesis	Adenosylcobinamide-phosphate guanylyltransferase (EC 2.7.7.62)	fig|6666666.707976.peg.2498
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Cobalamin synthesis	Cobalt-precorrin-8x methylmutase (EC 5.4.1.2)	fig|6666666.707976.peg.482
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Cobalamin synthesis	Cobalt-precorrin-2 C20-methyltransferase (EC 2.1.1.130)	fig|6666666.707976.peg.481
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Cobalamin synthesis	Cobyric acid synthase (EC 6.3.5.10)	fig|6666666.707976.peg.2499
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Cobalamin synthesis	Cobalt-precorrin-4 C11-methyltransferase (EC 2.1.1.133)	fig|6666666.707976.peg.820
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Cobalamin synthesis	Cobalt-precorrin-3b C17-methyltransferase	fig|6666666.707976.peg.480, fig|6666666.707976.peg.819
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Cobalamin synthesis	Cobalamin biosynthesis protein CbiG	fig|6666666.707976.peg.480
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Cobalamin synthesis	Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase (EC 2.4.2.21)	fig|6666666.707976.peg.2497
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Cobalamin synthesis	Adenosylcobinamide-phosphate synthase (EC 6.3.1.10)	fig|6666666.707976.peg.2501
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Cobalamin synthesis	Cob(I)alamin adenosyltransferase (EC 2.5.1.17)	fig|6666666.707976.peg.2503
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Cobalamin synthesis	Alpha-ribazole-5'-phosphate phosphatase (EC 3.1.3.73)	fig|6666666.707976.peg.2496
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Cobalamin synthesis	Cobalt-precorrin-6 synthase, anaerobic	fig|6666666.707976.peg.486
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Cobalamin synthesis	Cobyrinic acid A,C-diamide synthase	fig|6666666.707976.peg.2502
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Heme and Siroheme Biosynthesis	Glutamyl-tRNA synthetase (EC 6.1.1.17)	fig|6666666.707976.peg.60
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Heme and Siroheme Biosynthesis	Coproporphyrinogen III oxidase, aerobic (EC 1.3.3.3)	fig|6666666.707976.peg.4224
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Heme and Siroheme Biosynthesis	Uroporphyrinogen-III synthase (EC 4.2.1.75)	fig|6666666.707976.peg.5290, fig|6666666.707976.peg.5291
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Heme and Siroheme Biosynthesis	Glutamate-1-semialdehyde aminotransferase (EC 5.4.3.8)	fig|6666666.707976.peg.2825
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Heme and Siroheme Biosynthesis	Precorrin-2 oxidase (EC 1.3.1.76)	fig|6666666.707976.peg.3464
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Heme and Siroheme Biosynthesis	Porphobilinogen synthase (EC 4.2.1.24)	fig|6666666.707976.peg.3844, fig|6666666.707976.peg.5311
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Heme and Siroheme Biosynthesis	Radical SAM family enzyme, similar to coproporphyrinogen III oxidase, oxygen-independent, clustered with nucleoside-triphosphatase RdgB	fig|6666666.707976.peg.5437
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Heme and Siroheme Biosynthesis	Coproporphyrinogen III oxidase, oxygen-independent (EC 1.3.99.22)	fig|6666666.707976.peg.3273, fig|6666666.707976.peg.3993, fig|6666666.707976.peg.3994, fig|6666666.707976.peg.3995
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Heme and Siroheme Biosynthesis	Glutamyl-tRNA reductase (EC 1.2.1.70)	fig|6666666.707976.peg.2709
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Heme and Siroheme Biosynthesis	Porphobilinogen deaminase (EC 2.5.1.61)	fig|6666666.707976.peg.5289
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Heme and Siroheme Biosynthesis	Uroporphyrinogen-III methyltransferase (EC 2.1.1.107)	fig|6666666.707976.peg.3238, fig|6666666.707976.peg.3464, fig|6666666.707976.peg.3975
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Heme and Siroheme Biosynthesis	Protoporphyrinogen IX oxidase, novel form, HemJ (EC 1.3.-.-)	fig|6666666.707976.peg.4843
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Heme and Siroheme Biosynthesis	Ferrochelatase, protoheme ferro-lyase (EC 4.99.1.1)	fig|6666666.707976.peg.2723
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Heme and Siroheme Biosynthesis	Uroporphyrinogen III decarboxylase (EC 4.1.1.37)	fig|6666666.707976.peg.5838
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Heme and Siroheme Biosynthesis	Sirohydrochlorin ferrochelatase (EC 4.99.1.4)	fig|6666666.707976.peg.3464
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Coenzyme B12 biosynthesis	L-threonine 3-O-phosphate decarboxylase (EC 4.1.1.81)	fig|6666666.707976.peg.2500
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Coenzyme B12 biosynthesis	Cobalt-precorrin-6y C5-methyltransferase (EC 2.1.1.-)	fig|6666666.707976.peg.485
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Coenzyme B12 biosynthesis	Cobalt-precorrin-8x methylmutase (EC 5.4.1.2)	fig|6666666.707976.peg.482
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Coenzyme B12 biosynthesis	Cobalt-precorrin-2 C20-methyltransferase (EC 2.1.1.130)	fig|6666666.707976.peg.481
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Coenzyme B12 biosynthesis	Cobyric acid synthase (EC 6.3.5.10)	fig|6666666.707976.peg.2499
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Coenzyme B12 biosynthesis	CobW GTPase involved in cobalt insertion for B12 biosynthesis	fig|6666666.707976.peg.816
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Coenzyme B12 biosynthesis	Cobalamin biosynthesis protein CbiG	fig|6666666.707976.peg.480
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Coenzyme B12 biosynthesis	Cobalt-precorrin-6y C15-methyltransferase [decarboxylating] (EC 2.1.1.-)	fig|6666666.707976.peg.485
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Coenzyme B12 biosynthesis	Uroporphyrinogen-III methyltransferase (EC 2.1.1.107)	fig|6666666.707976.peg.3238, fig|6666666.707976.peg.3464, fig|6666666.707976.peg.3975
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Coenzyme B12 biosynthesis	Vitamin B12 ABC transporter, B12-binding component BtuF	fig|6666666.707976.peg.2394, fig|6666666.707976.peg.4743
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Coenzyme B12 biosynthesis	ChlI component of cobalt chelatase involved in B12 biosynthesis	fig|6666666.707976.peg.813
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Coenzyme B12 biosynthesis	Outer membrane vitamin B12 receptor BtuB	fig|6666666.707976.peg.4742
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Coenzyme B12 biosynthesis	Cobalt-precorrin-6x reductase (EC 1.3.1.54)	fig|6666666.707976.peg.487
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Coenzyme B12 biosynthesis	Precorrin-6A synthase (EC 2.1.1.152)	fig|6666666.707976.peg.3661
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Coenzyme B12 biosynthesis	Adenosylcobinamide-phosphate guanylyltransferase (EC 2.7.7.62)	fig|6666666.707976.peg.2498
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Coenzyme B12 biosynthesis	Cobalt-precorrin-3b C17-methyltransferase	fig|6666666.707976.peg.480, fig|6666666.707976.peg.819
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Coenzyme B12 biosynthesis	Cobalt-precorrin-4 C11-methyltransferase (EC 2.1.1.133)	fig|6666666.707976.peg.820
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Coenzyme B12 biosynthesis	ChlD component of cobalt chelatase involved in B12 biosynthesis	fig|6666666.707976.peg.812
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Coenzyme B12 biosynthesis	Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase (EC 2.4.2.21)	fig|6666666.707976.peg.2497
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Coenzyme B12 biosynthesis	Adenosylcobinamide-phosphate synthase (EC 6.3.1.10)	fig|6666666.707976.peg.2501
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Coenzyme B12 biosynthesis	Cob(I)alamin adenosyltransferase (EC 2.5.1.17)	fig|6666666.707976.peg.2503
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Coenzyme B12 biosynthesis	Alpha-ribazole-5'-phosphate phosphatase (EC 3.1.3.73)	fig|6666666.707976.peg.2496
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Coenzyme B12 biosynthesis	Cobalt-precorrin-6 synthase, anaerobic	fig|6666666.707976.peg.486
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Coenzyme B12 biosynthesis	Cobalamin biosynthesis protein CobG	fig|6666666.707976.peg.483
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Coenzyme B12 biosynthesis	Predicted cobalt transporter CbtA	fig|6666666.707976.peg.818
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Coenzyme B12 biosynthesis	Cobyrinic acid A,C-diamide synthase	fig|6666666.707976.peg.2502
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Coenzyme B12 biosynthesis	CobN component of cobalt chelatase involved in B12 biosynthesis	fig|6666666.707976.peg.814, fig|6666666.707976.peg.815
Cofactors, Vitamins, Prosthetic Groups, Pigments	Riboflavin, FMN, FAD	Riboflavin, FMN and FAD metabolism in plants	FMN adenylyltransferase (EC 2.7.7.2)	fig|6666666.707976.peg.3091
Cofactors, Vitamins, Prosthetic Groups, Pigments	Riboflavin, FMN, FAD	Riboflavin, FMN and FAD metabolism in plants	FIG000859: hypothetical protein YebC	fig|6666666.707976.peg.2045
Cofactors, Vitamins, Prosthetic Groups, Pigments	Riboflavin, FMN, FAD	Riboflavin, FMN and FAD metabolism in plants	Multi antimicrobial extrusion protein (Na(+)/drug antiporter), MATE family of MDR efflux pumps	fig|6666666.707976.peg.3296
Cofactors, Vitamins, Prosthetic Groups, Pigments	Riboflavin, FMN, FAD	Riboflavin, FMN and FAD metabolism in plants	C-terminal domain of CinA type S	fig|6666666.707976.peg.1876
Cofactors, Vitamins, Prosthetic Groups, Pigments	Riboflavin, FMN, FAD	Riboflavin, FMN and FAD metabolism in plants	6,7-dimethyl-8-ribityllumazine synthase (EC 2.5.1.78)	fig|6666666.707976.peg.4517, fig|6666666.707976.peg.4750
Cofactors, Vitamins, Prosthetic Groups, Pigments	Riboflavin, FMN, FAD	Riboflavin, FMN and FAD metabolism in plants	5-Amino-6-(5'-phosphoribitylamino)uracil phosphatase	fig|6666666.707976.peg.5274
Cofactors, Vitamins, Prosthetic Groups, Pigments	Riboflavin, FMN, FAD	Riboflavin, FMN and FAD metabolism in plants	5-amino-6-(5-phosphoribosylamino)uracil reductase (EC 1.1.1.193)	fig|6666666.707976.peg.4753
Cofactors, Vitamins, Prosthetic Groups, Pigments	Riboflavin, FMN, FAD	Riboflavin, FMN and FAD metabolism in plants	tRNA pseudouridine synthase B (EC 4.2.1.70)	fig|6666666.707976.peg.5096
Cofactors, Vitamins, Prosthetic Groups, Pigments	Riboflavin, FMN, FAD	Riboflavin, FMN and FAD metabolism in plants	Riboflavin kinase (EC 2.7.1.26)	fig|6666666.707976.peg.3091
Cofactors, Vitamins, Prosthetic Groups, Pigments	Riboflavin, FMN, FAD	Riboflavin, FMN and FAD metabolism in plants	GTP cyclohydrolase II (EC 3.5.4.25)	fig|6666666.707976.peg.1526, fig|6666666.707976.peg.4745, fig|6666666.707976.peg.4751
Cofactors, Vitamins, Prosthetic Groups, Pigments	Riboflavin, FMN, FAD	Riboflavin, FMN and FAD metabolism in plants	Riboflavin synthase eubacterial/eukaryotic (EC 2.5.1.9)	fig|6666666.707976.peg.4752
